Designator,Mid X,Mid Y,Rotation,Layer
A1,112.6082,-139.6492,0.0,top
C1,44.2722,-164.0194,90.0,top
C10,146.6776,-153.8478,0.0,top
C11,149.3954,-160.3502,0.0,top
C2,98.9584,-151.2916,-90.0,top
C3,55.5382,-126.365,0.0,top
C4,55.5382,-141.3764,0.0,top
C5,85.9882,-152.0698,0.0,top
C6,60.2996,-152.0952,0.0,top
C7,140.5054,-153.8478,0.0,top
C8,143.7478,-135.7884,0.0,top
C9,141.6738,-160.401,0.0,top
CP-5V1,161.163,-72.8218,180.0,top
CP-GND1,32.6136,-72.7964,180.0,top
D1,42.1368,-173.8884,180.0,top
D2,71.0692,-102.4686,90.0,top
D3,121.7422,-102.489,90.0,top
FB-P1Center1,161.1122,-82.1436,180.0,top
FB-P1Center2,45.8978,-62.8904,0.0,top
FB-P1Center3,79.5782,-62.9666,0.0,top
FB-P2Center1,32.6136,-82.0674,180.0,top
FB-P2Center2,88.7222,-62.9412,0.0,top
FB-P2Center3,63.8048,-62.7888,0.0,top
FB-P3Center1,32.6136,-91.6178,180.0,top
FB-P3Center3,35.8902,-28.829,20.0,top
FB-P3Center4,96.4946,-22.6314,20.0,top
FB-P3Center5,105.41,-19.4818,20.0,top
FB-P3Center6,54.7878,-62.8396,0.0,top
FP-MotOn-OUT1,32.639,-101.0158,0.0,top
H10,32.6136,-118.9736,0.0,top
H12,161.0614,-119.0244,0.0,top
H13,36.7538,-62.8904,0.0,top
H14,161.0868,-128.4224,0.0,top
H15,87.5792,-25.781,20.0,top
H16,32.6644,-128.4986,0.0,top
H17,44.7548,-25.7302,20.0,top
H18,32.7152,-137.8966,0.0,top
H19,97.6122,-62.9412,0.0,top
H20,161.0614,-137.8458,0.0,top
H21,161.1122,-91.6432,0.0,top
H22,161.0614,-147.3708,0.0,top
H23,161.0106,-100.9904,0.0,top
H25,106.6292,-62.9158,0.0,top
H26,32.7152,-147.447,0.0,top
H27,62.5856,-19.431,20.0,top
H30,78.6892,-28.8544,20.0,top
H31,53.6448,-22.606,20.0,top
J1,39.5047,-180.2074,90.0,top
J10,134.112,-159.9642,180.0,top
J2,153.8098,-171.4405,0.0,top
J3,64.12,-184.6326,-90.0,top
J4,77.8749,-184.6326,-90.0,top
J5,91.6297,-184.6326,-90.0,top
J6,105.3846,-184.6326,-90.0,top
J7,86.3242,-178.7398,90.0,top
J8,86.4004,-171.2976,90.0,top
J9,105.3592,-160.2232,0.0,top
L1,50.927,-183.3118,90.0,top
R1,106.426,-105.6132,180.0,top
R2,86.233,-101.2698,0.0,top
RV1,152.1714,-92.837,90.0,top
RV2,101.4183,-92.7112,90.0,top
RV3,50.7453,-92.9132,90.0,top
SW1,119.2276,-92.6338,90.0,top
SW2,68.4426,-92.9644,90.0,top
U1,91.9734,-158.1404,180.0,top
U2,66.6496,-158.242,180.0,top
U3,138.8364,-148.6916,90.0,top
U4,76.5556,-171.196,-90.0,top
